,Unnamed: 0,Project Title,Generated/Expected/reduced,Per year/To date,Method,Carbon credit amount,Registry ID,Registry,Total Credits,Yearly Credits,Credits Retired Total,Credits Retired Owned,Credits Retired Unowned,Credits Retired Company,Longitude,Latitude
24,24,TIST PROGRAM UGANDA 3,Generated,Per year,Carbon credits,13500.0,VCS827,https://registry.verra.org/app/projectDetail/VCS/827,80538.0,26846.0,79202.0,34503.0,44699.0,0.0,29.759588,0.91059
25,25,TIST PROGRAM UGANDA 4,Generated,Per year,Carbon credits,13500.0,VCS826,https://registry.verra.org/app/projectDetail/VCS/826,25819.0,8606.333333,25819.0,5258.0,20561.0,0.0,29.635165,0.786174
26,26,TIST PROGRAM UGANDA 5,Generated,Per year,Carbon credits,13500.0,VCS993,https://registry.verra.org/app/projectDetail/VCS/993,625885.0,208628.0,583172.0,289207.0,293965.0,0.0,30.176389,0.0
27,27,TIST PROGRAM UGANDA 6,Generated,Per year,Carbon credits,13500.0,VCS995,https://registry.verra.org/app/projectDetail/VCS/995,168442.0,56147.33333,148043.0,65990.0,82053.0,0.0,30.129882,-1.228393
28,28,TIST PROGRAM UGANDA 10,Generated,Per year,Carbon credits,13500.0,VCS2339,https://registry.verra.org/app/projectDetail/VCS/2339,155813.0,155813.0,2720.0,2675.0,45.0,0.0,32.237527,3.073811
29,29,TIST PROGRAM PROJECT KENYA 001,Generated,Per year,Carbon credits,300000.0,VCS594,https://registry.verra.org/app/projectDetail/VCS/594,61903.0,30951.5,31079.0,5646.0,25433.0,0.0,37.659891,0.072169
30,30,TIST PROGRAM PROJECT KENYA 002,Generated,Per year,Carbon credits,300000.0,VCS595,https://registry.verra.org/app/projectDetail/VCS/595,37247.0,12415.66667,29292.0,6111.0,23181.0,0.0,37.693258,0.141267
31,31,TIST PROGRAM PROJECT KENYA 003,Generated,Per year,Carbon credits,300000.0,VCS596,https://registry.verra.org/app/projectDetail/VCS/596,68288.0,22762.66667,49442.0,23639.0,25803.0,0.0,37.648572,0.012579
32,32,TIST PROGRAM PROJECT KENYA 004,Generated,Per year,Carbon credits,300000.0,VCS597,https://registry.verra.org/app/projectDetail/VCS/597,30575.0,10191.66667,24150.0,0.0,24150.0,0.0,36.819042,0.14305
33,33,TIST PROGRAM PROJECT KENYA 005,Generated,Per year,Carbon credits,300000.0,VCS598,https://registry.verra.org/app/projectDetail/VCS/598,215164.0,21516.4,62726.0,0.0,62726.0,0.0,38.751801,38.785311
34,34,TIST PROGRAM PROJECT KENYA 006,Generated,Per year,Carbon credits,300000.0,VCS899,https://registry.verra.org/app/projectDetail/VCS/899,1001808.0,333936.0,743904.0,208781.0,535123.0,0.0,33.928857,-1.012116
35,35,TIST PROGRAM PROJECT KENYA 009,Generated,Per year,Carbon credits,300000.0,VCS996,https://registry.verra.org/app/projectDetail/VCS/996,299772.0,99924.0,199123.0,164108.0,35015.0,0.0,37.809196,0.005999
36,36,TIST PROGRAM PROJECT KENYA 010,Generated,Per year,Carbon credits,300000.0,VCS2336,https://registry.verra.org/app/projectDetail/VCS/2338,33439.0,16719.5,7694.0,6255.0,1439.0,0.0,78.9629,20.593
37,37,"REFORESTATION OF DEGRADED GRASSLANDS IN UCHINDILE & MAPANDA, TANZANIA",Generated,Per year,Carbon credits,388000.0,VCS142,https://registry.verra.org/app/projectDetail/VCS/142,753975.0,188493.75,393371.0,126501.0,266870.0,0.0,35.391111,-8.659444
39,39,TIST PROGRAM INDIA,Generated ,Per year,Carbon credits,11000.0,VCS994,https://registry.verra.org/app/projectDetail/VCS/994,207008.0,69002.66667,98617.0,24025.0,74592.0,0.0,79.66785,12.510175
41,41,THE GUATEMALAN CONSERVATION COAST,Generated ,To date,Carbon credits ,2957638.0,VCS1622,https://registry.verra.org/app/projectDetail/VCS/1622,6026775.0,602677.5,2401679.0,1658811.0,742868.0,680884.0,-88.891564,15.216831
42,42,GANSU LANZHOU AFFORESTATION PROJECT,Generated,To date,Carbon credits ,117640.0,VCS2418,https://registry.verra.org/app/projectDetail/VCS/2418,63340.0,12668.0,8227.0,0.0,8227.0,0.0,104.05,36.05
44,44,HAIDONG AFFORESTATION PROJECT,Generated,Per year,Carbon credits ,598000.0,VCS1832,https://registry.verra.org/app/projectDetail/VCS/1832,87535.0,87535.0,46632.0,16632.0,30000.0,16632.0,102.799029,36.409326
45,45,QINGHAI AFFORESTATION PROJECT,Generated,Per year,Carbon credits ,767000.0,VCS1826,https://registry.verra.org/app/projectDetail/VCS/1826,83348.0,83348.0,83348.0,48348.0,35000.0,40848.0,101.121903,36.448753
46,46,XINING CITY AFFORESTATION PROJECT,Generated,Per year,Carbon credits ,500000.0,VCS1825,https://registry.verra.org/app/projectDetail/VCS/1825,83792.0,83792.0,81925.0,81925.0,0.0,43792.0,101.271653,37.138395
47,47,MAKIT COUNTY AFFORESTATION CARBON SEQUESTRATION PROJECT,Generated,Per year,Carbon credits ,90000.0,VCS1866,https://registry.verra.org/app/projectDetail/VCS/1866,348219.0,348219.0,348219.0,263819.0,84400.0,263819.0,77.806055,38.858983
